name,descr,code,locale
English,English,en,en
German,German,de,en
Spanish,Spanish,es,en
French,French,fr,en
Russian,Russian,ru,en
Portuguese,Portuguese,pt,en
Japanese,Japanese,ja,en
Chinese,Chinese,zh_CN,en
Englisch,Englisch,en,de
Deutsch,Deutsch,de,de
Spanisch,Spanisch,es,de
Französisch,Französisch,fr,de
Russisch,Russisch,ru,de
Portugiesisch,Portugiesisch,pt,de
Japanisch,Japanisch,ja,de
Chinesisch,Chinesisch,zh_CN,de
Inglés,Inglés,en,es
Alemán,Alemán,de,es
Español,Español,es,es
Francés,Francés,fr,es
Ruso,Ruso,ru,es
Portugués,Portugués,pt,es
Japonés,Japonés,ja,es
Chino,Chino,zh_CN,es
Anglais,Anglais,en,fr
Allemand,Allemand,de,fr
Espagnol,Espagnol,es,fr
Français,Français,fr,fr
Russe,Russe,ru,fr
Portugais,Portugais,pt,fr
Japonais,Japonais,ja,fr
Chinois,Chinois,zh_CN,fr
Английский,Английский,en,ru
Немецкий,Немецкий,de,ru
Испанский,Испанский,es,ru
Французский,Французский,fr,ru
Русский,Русский,ru,ru
Португальский,Португальский,pt,ru
Японский,Японский,ja,ru
Китайский,Китайский,zh_CN,ru
Inglês,Inglês,en,pt
Alemão,Alemão,de,pt
Espanhol,Espanhol,es,pt
Francês,Francês,fr,pt
Russo,Russo,ru,pt
Português,Português,pt,pt
Japonês,Japonês,ja,pt
Chinês,Chinês,zh_CN,pt
英語,英語,en,ja
ドイツ語,ドイツ語,de,ja
スペイン語,スペイン語,es,ja
フランス語,フランス語,fr,ja
ロシア語,ロシア語,ru,ja
ポルトガル語,ポルトガル語,pt,ja
日本語,日本語,ja,ja
簡体中国語,簡体中国語,zh_CN,ja
英语,英语,en,zh
德语,德语,de,zh
西班牙语,西班牙语,es,zh
法语,法语,fr,zh
俄语,俄语,ru,zh
葡萄牙语,葡萄牙语,pt,zh
日语,日语,ja,zh
简体中文,简体中文,zh_CN,zh
